,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
64,Brazil’s President Jair Bolsonaro is undergoing another test for Covid-19 after showing symptoms of the virus https://t.co/Z5Vb7l0zDI,133,1280383253753532417,techjunkiejh,Tech Junkie,,,2020-07-07 06:08:50,Buffer,0,87,,,
65,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280383096202964992,George54576233,Jeremy Brown,,,2020-07-07 06:08:13,Twitter for Android,0,894,,,
66,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280383095544459264,Alfred996,M‘kh Al Frejd #STAYTHEFUCKHOME ♥️🌍🌻,EU•Earth•MilkyWay•Laniakea,,2020-07-07 06:08:13,Twitter for iPad,0,894,,,
67,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280382994528776192,importantintel1,BELGIAN COVID-19 Intel Hub,Belgian Hub,,2020-07-07 06:07:48,Twitter Web App,0,894,,,
68,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280382768891834368,sara30595990,sara,,,2020-07-07 06:06:55,Twitter for iPad,0,176,,,
69,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280382736952410112,KunNicoolas,Kaï,"Los Angeles, CA",,2020-07-07 06:06:47,Twitter for iPhone,0,176,,,
70,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280381902298505216,TecnoTech11,TecnoTech 🦠🌚 🇪🇸 🏴‍☠️,,,2020-07-07 06:03:28,Twitter for iPhone,0,176,,,
71,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280381877271121921,Daimonji_books,だいもんじ✈︎,とうきょう ⇔ きょうと,,2020-07-07 06:03:22,Twitter for iPhone,0,894,,,
72,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280381354165907457,Yo95471694,Yo,,,2020-07-07 06:01:17,Twitter for iPhone,0,176,,,
73,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280381289544253442,MFReis25,Marcelo F. dos Reis,,,2020-07-07 06:01:02,Twitter for iPhone,0,176,,,
